property_type,property_id,postcode,city,province,address,latitude,longitude,price,property_state,build_year,bedroom_count,livable_surface,total_surface,garage,terrace,energy_consumption_kWh/m2/year,swimming_pool,preschool_distance_m,train_station_distance_m,supermarket_distance_m,nearest_city,nearest_city_distance_km,price_per_m2
apartment,RBW28450,2640,Mortsel,antwerp,Antwerpsestraat 74 2,51.17245,4.446859,149000,,,1,60,,0,0,505,0,796,1000,181,Antwerp,6.07,2483.3333333333
apartment,RBW27533,2300,Turnhout,antwerp,Rubensstraat 3 8,51.31891,4.945468,199000,Normal,1969,2,80,,0,0,435,0,380,960,204,Antwerp,39.36,2487.5
apartment,RBW28460,2640,Mortsel,antwerp,Liersesteenweg 254 1,51.16817,4.473844,199000,To renovate,1973,2,93,,1,1,130,0,352,742,655,Antwerp,7.56,2139.7849462366
apartment,RBW30095,2610,Wilrijk,antwerp,Kruishofstraat 146 8C,51.1821185,4.39143903,166000,Normal,1967,1,65,,0,1,160,0,543,1900,317,Antwerp,4.22,2553.8461538462
apartment,RBW30625,2610,Wilrijk,antwerp,Kruishofstraat 146 4E,51.1821,4.391529,195000,Normal,1967,2,88,,0,1,151,0,609,2000,383,Antwerp,4.22,2215.9090909091
apartment,RBW28463,2640,Mortsel,antwerp,Liersesteenweg 256 1L,51.16816,4.473956,199000,,,3,83,,1,,93,0,345,750,663,Antwerp,7.57,2397.5903614458
apartment,RBW29810,2140,Borgerhout,antwerp,Bleekhofstraat 117 23/5c,51.2118,4.432114,167000,To renovate,1958,2,89,,0,1,167,0,65,1100,126,Antwerp,2.23,1876.404494382
apartment,RBW28462,2640,Mortsel,antwerp,Liersesteenweg 256 GLV,51.16816,4.473956,199000,,,2,73,,1,,353,0,345,750,663,Antwerp,7.57,2726.0273972603
house,RBW27836,2230,Ramsel,antwerp,Maasvelden 14-16,51.02421,4.85425,165000,Normal,,3,77,2638,0,1,877,0,2900,3500,2600,Leuven,19.34,2142.8571428571
apartment,RBW28461,2640,Mortsel,antwerp,Liersesteenweg 254 2,51.16817,4.473844,199000,To renovate,,2,93,,1,1,247,0,352,742,655,Antwerp,7.56,2139.7849462366
apartment,RBW27524,2300,Turnhout,antwerp,Duifhuisstraat 3 4,51.31524,4.949242,179000,To renovate,1979,1,83,,0,1,360,0,330,1600,460,Antwerp,39.5,2156.6265060241
apartment,RBW27346,2180,Ekeren,antwerp,Jozef Ickxstraat 28,51.2811679,4.4496224,179000,Normal,1950,2,63,,0,1,550,0,172,1300,433,Antwerp,7.61,2841.2698412698
apartment,RBW27514,2360,Oud-Turnhout,antwerp,Steenweg op Sevendonk 3 1,51.31697,4.981201,169000,,,1,81,,0,1,371,0,309,3400,518,Antwerp,41.7,2086.4197530864
house,RBW27986,2490,Balen,antwerp,Nieuwendijk,51.17313489,5.21334107,114000,To renovate,1970,1,43,2054,0,1,1180,0,1300,3700,2100,Leuven,48.48,2651.1627906977
apartment,RBW27512,2300,Turnhout,antwerp,Korte Begijnenstraat 8 6,51.32633,4.948936,189000,,1987,2,91,,0,1,273,0,399,1300,398,Antwerp,39.83,2076.9230769231
house,RBW27841,2230,Herselt,antwerp,De Schrieken 49,51.04078,4.900649,195000,Normal,1971,2,125,1782,1,1,655,0,1400,6300,2700,Leuven,22.74,1560.0
apartment,RBW27480,2370,Arendonk,antwerp,Hovestraat 2 5,51.32067,5.092209,139000,Excellent,2013,1,60,,0,0,143,0,561,,188,Antwerp,49.29,2316.6666666667
apartment,RBW27498,2370,Arendonk,antwerp,Hovestraat 2 2,51.32067,5.092209,127000,Normal,2012,1,57,,0,0,113,0,561,,188,Antwerp,49.29,2228.0701754386
apartment,RBW28509,2100,Deurne,antwerp,Wouter Haecklaan 1 39,51.2136,4.458458,189000,Normal,1963,2,97,,0,1,164,0,161,1900,517,Antwerp,3.95,1948.4536082474
house,RBW27494,2275,Gierle,antwerp,Patrijzenpad,51.29323,4.852065,45000,,1986,1,,2607,0,1,,0,3000,6900,5000,Antwerp,32.34,
house,RBW27926,2230,Herselt,antwerp,Achter de Wereld 6K,51.02946,4.856117,60000,To renovate,1981,2,57,,1,0,2161,0,2300,4900,2100,Leuven,19.89,1052.6315789474
apartment,RBW30874,2300,Turnhout,antwerp,Korte Gasthuisstraat 30 7,51.32106,4.94522,168000,,1972,2,117,,1,1,244,0,331,801,33,Antwerp,39.41,1435.8974358974
apartment,RBW29814,2100,Deurne,antwerp,Cogelsplein 26 301,51.21971,4.455211,125000,,,1,45,,0,0,548,0,168,2100,363,Antwerp,3.67,2777.7777777778
apartment,RBW28431,2640,Mortsel,antwerp,Mechelsesteenweg 132 2,51.1672,4.452268,195000,To renovate,1932,2,78,,0,1,357,0,173,760,268,Antwerp,6.76,2500.0
apartment,RBW27982,2440,Geel,antwerp,Patronaatstraat 27 F,51.16306,4.987746,185000,Normal,2008,1,54,,0,1,155,0,91,791,381,Leuven,37.36,3425.9259259259
apartment,RBW27561,2300,Turnhout,antwerp,Merode-Center 2 2,51.32217,4.940546,195000,To renovate,1977,2,95,,1,1,143,0,354,302,228,Antwerp,39.14,2052.6315789474
apartment,RBW30099,2600,Berchem,antwerp,Fruithoflaan 98 19,51.18368,4.43868,179000,To renovate,1961,1,56,,0,1,259,0,418,1100,248,Antwerp,4.7,3196.4285714286
house,RBW27547,2300,Turnhout,antwerp,Korte Veldstraat 1,51.32092,4.953986,189000,To renovate,1930,1,100,55,0,1,779,0,292,1300,488,Antwerp,39.99,1890.0
house,RBW27871,2230,Herselt,antwerp,Kiekuitstraat 2,51.0249212,4.8776533,75000,To renovate,1989,3,83,535,0,1,617,0,1600,3900,3300,Leuven,20.36,903.6144578313
apartment,RBW27457,2170,Merksem,antwerp,Pallieterstraat 3 201,51.24826,4.4313979,189000,Normal,1972,2,78,,0,1,207,0,408,1100,226,Antwerp,3.79,2423.0769230769
apartment,RBW28457,2640,Mortsel,antwerp,Liersesteenweg 254 GLV,51.16817,4.473844,199000,To renovate,1973,1,84,,1,0,335,0,352,742,655,Antwerp,7.56,2369.0476190476
apartment,RBW27357,2220,Heist-op-den-Berg,antwerp,Boudewijnlaan 9,51.07368,4.70985,189000,Normal,1991,2,99,,0,0,220,0,931,132,837,Leuven,21.57,1909.0909090909
house,RBW27537,2300,Turnhout,antwerp,Lodewijk de Koninckstraat 10,51.32241,4.928637,199000,To renovate,1930,3,110,156,0,1,842,0,246,757,642,Antwerp,38.35,1809.0909090909
apartment,RBW27808,2100,Deurne,antwerp,Ruggeveldlaan 503 3V,51.21983,4.480237,199000,To renovate,,3,105,,1,1,264,0,223,3700,362,Antwerp,5.41,1895.2380952381
apartment,RBW27545,2300,Turnhout,antwerp,schorvoortstraat 6 2,51.30746,4.950501,187000,To renovate,1964,2,72,,0,0,163,0,98,2400,628,Antwerp,39.37,2597.2222222222
apartment,RBW27468,2100,Deurne,antwerp,Hendrik Van Uffelslaan 10-12 301,51.2110584,4.4599473,189000,Normal,1968,2,96,,0,1,466,0,264,1900,153,Antwerp,4.11,1968.75
house,RBW27041,2200,Morkhoven,antwerp,Berteneinde 19,51.10773,4.809844,85000,To renovate,1987,2,116,832,1,1,804,0,2100,9000,2700,Leuven,26.47,732.7586206897
apartment,RBW26697,2800,Mechelen,antwerp,Leopoldstraat 80 402,51.01833,4.480841,149000,Normal,1970,,43,,0,0,179,0,692,236,1200,Brussels,21.18,3465.1162790698
apartment,RBW25565,2440,Geel,antwerp,Larum 58b,51.1671798,4.9434776,125000,To renovate,1941,1,46,,0,,492,0,273,3600,3200,Leuven,36.19,2717.3913043478
apartment,RBW27269,2170,Merksem,antwerp,Flamingostraat 17 201,51.25903,4.437035,197000,Normal,1969,2,72,,0,0,866,0,924,1300,404,Antwerp,5.02,2736.1111111111
apartment,RBW27331,2170,Merksem,antwerp,Groenendaallaan 89 7,51.24216,4.43234,194000,To renovate,1977,2,82,,1,1,137,0,568,779,203,Antwerp,3.27,2365.8536585366
apartment,RBW27249,2170,Merksem,antwerp,Van Heybeeckstraat 1 101,51.24662,4.447482,160000,To renovate,,2,103,,0,1,419,0,440,2300,462,Antwerp,4.36,1553.3980582524
house,RBW26779,2850,Boom,antwerp,Kapelstraat 8,51.08669,4.370183,179000,To renovate,,2,110,105,0,1,382,0,105,1300,190,Antwerp,14.93,1627.2727272727
apartment,RBW27311,2170,Merksem,antwerp,Lambrechtshoekenlaan 209 1106,51.25112,4.433446,194000,To renovate,1971,2,90,,0,1,107,0,450,1400,209,Antwerp,4.13,2155.5555555556
house,RBW26210,2060,Antwerp,antwerp,Joannasteeg 6,51.22547,4.43245,185000,To renovate,1875,1,68,37,0,0,457,0,308,1200,1000,Antwerp,2.19,2720.5882352941
apartment,RBW27333,2100,Deurne,antwerp,Van Duyststraat 151 11B,51.23245,4.450105,179000,Normal,1969,2,79,,0,1,231,0,171,2100,1300,Antwerp,3.62,2265.8227848101
apartment,RBW27298,2100,Deurne,antwerp,Alfons Schneiderlaan 167 3V,51.22447,4.473978,189000,Normal,1960,2,80,,0,1,170,0,205,3700,474,Antwerp,5.01,2362.5
apartment,RBW27285,2170,Merksem,antwerp,Bredabaan 874 5,51.2547,4.459072,185000,To renovate,1973,2,100,,1,1,150,0,408,3000,182,Antwerp,5.56,1850.0
apartment,RBW24072,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,199000,New,2024,1,64,,1,1,,0,313,1300,285,Antwerp,40.04,3109.375
house,RBW25673,2580,Beerzel,antwerp,Hoogstraat 46,51.0581318,4.6669569,180000,To renovate,,2,101,211,0,0,794,0,311,3800,1700,Leuven,19.97,1782.1782178218
apartment,RBW26751,2850,Boom,antwerp,Henri Spillemaeckersstraat 7 009A,51.08679,4.363149,182000,Normal,1963,2,80,,0,0,226,0,483,828,153,Antwerp,15.0,2275.0
apartment,RBW27286,2170,Merksem,antwerp,Campiniastraat 78 1V,51.2398472,4.43241231,190000,To renovate,,2,80,,1,1,351,0,604,1200,508,Antwerp,3.08,2375.0
apartment,RBW27280,2160,Wommelgem,antwerp,Autolei 83 2V,51.2046475,4.48691085,199000,Normal,1967,2,82,,1,0,271,0,190,4000,74,Antwerp,6.1,2426.8292682927
apartment,RBW27292,2100,Deurne,antwerp,Ter Heydelaan 133 5,51.22704,4.462025,179000,To renovate,1965,2,93,,0,1,159,0,305,3100,717,Antwerp,4.23,1924.7311827957
apartment,RBW27300,2100,Deurne,antwerp,Bisschoppenhoflaan 303 501,51.2335,4.460882,139000,Normal,1966,1,44,,1,1,215,0,347,2800,762,Antwerp,4.36,3159.0909090909
apartment,RBW27080,2100,Deurne,antwerp,Bisschoppenhoflaan 289,51.2336265,4.4598386,165000,,1967,1,66,,0,0,,0,415,2700,829,Antwerp,4.29,2500.0
apartment,RBW24073,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,197000,New,2024,1,60,,1,1,,0,313,1300,285,Antwerp,40.04,3283.3333333333
house,RBW24785,2400,Mol,antwerp,Kromstraat 15,51.1994604,5.1315513,179000,To renovate,,3,187,303,1,0,378,0,304,2000,367,Leuven,46.6,957.2192513369
house,RBW24709,2200,Herentals,antwerp,Nederrij 89,51.18345,4.835509,199000,To renovate,1919,2,118,210,0,0,454,0,1000,632,540,Antwerp,30.43,1686.4406779661
house,RBW25669,2580,Beerzel,antwerp,Hoogstraat 135,51.0589585,4.6620299,185000,To renovate,,1,54,233,0,1,841,0,440,4100,1400,Leuven,20.1,3425.9259259259
apartment,RBW24104,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,197000,New,2024,1,59,,1,1,,0,313,1300,285,Antwerp,40.04,3338.9830508475
apartment,RBW24103,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,197000,New,2024,1,61,,1,1,,0,313,1300,285,Antwerp,40.04,3229.5081967213
apartment,RBW23753,2300,Turnhout,antwerp,Kerkplein 32-34,51.3211021,4.9417634,149000,New,2020,1,62,,0,1,85,0,2,476,313,Antwerp,39.18,2403.2258064516
apartment,RBW24098,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,192000,New,2024,1,59,,1,1,,0,313,1300,285,Antwerp,40.04,3254.2372881356
house,RBW24708,2200,Herentals,antwerp,Nederrij 87,51.18343,4.835436,195000,To renovate,1919,3,156,150,0,1,623,0,1000,633,541,Antwerp,30.43,1250.0
apartment,RBW24097,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,192000,New,2024,1,61,,1,1,,0,313,1300,285,Antwerp,40.04,3147.5409836066
house,RBW24807,2850,Boom,antwerp,Nielsestraat 192,51.09386,4.353985,159000,,,1,64,46,1,0,250,0,1600,959,1000,Antwerp,14.36,2484.375
apartment,RBW24060,2500,Lier,antwerp,Kapmes 8 2,51.14223,4.551096,198250,New,2022,1,65,,1,1,,0,1200,1200,520,Antwerp,13.45,3050.0
house,RBW25150,2580,Beerzel,antwerp,Hoogstraat 133,51.0590842,4.6621329,179000,To renovate,,2,82,110,0,1,925,0,440,4100,1400,Leuven,20.12,2182.9268292683
apartment,RBW23832,2200,Herentals,antwerp,Herenthoutseweg 85 1C,51.1717,4.832553,193000,Normal,1960,2,95,,1,0,236,0,743,1300,234,Antwerp,30.43,2031.5789473684
apartment,RBW25165,2830,Willebroek,antwerp,Dendermondsesteenweg 129 A,51.0595542,4.3525606,195000,,,,100,,0,0,,0,361,857,93,Antwerp,18.11,1950.0
apartment,RBW23700,2140,Borgerhout,antwerp,Eugeen Joorsstraat 11,51.21156,4.436833,199000,Excellent,,1,65,,0,0,354,0,171,857,361,Antwerp,2.55,3061.5384615385
apartment,RBW19716,2100,Deurne,antwerp,Ter Heydelaan 344 7,51.2297369,4.4737173,199000,,,2,80,,1,1,257,0,392,4000,647,Antwerp,5.09,2487.5
apartment,RBW23897,2020,Antwerp,antwerp,Maurits Sabbelaan 7 201,51.1889075,4.3722556,195000,,1971,3,88,,0,1,579,0,124,1900,429,Antwerp,3.99,2215.9090909091
apartment,RBW18181,2100,Deurne,antwerp,Ergo-de Waellaan 4 201,51.21149,4.455832,195000,To renovate,1960,2,82,,1,1,236,0,344,1500,271,Antwerp,3.82,2378.0487804878
apartment,RBW20351,2018,Antwerp,antwerp,Bexstraat 19 9,51.20931,4.412877,159000,To renovate,1974,1,41,,0,1,217,0,170,1500,387,Antwerp,1.33,3878.0487804878
apartment,RBV93091,2140,Borgerhout,antwerp,Turnhoutsebaan 455 10 C,51.21966,4.45304,175000,To renovate,1973,2,88,,1,1,134,0,321,2000,492,Antwerp,3.52,1988.6363636364
apartment,RBW23836,2200,Herentals,antwerp,Herenthoutseweg 85 1D,51.1717,4.832553,199000,Normal,1960,2,99,,1,0,250,0,743,1300,234,Antwerp,30.43,2010.101010101
apartment,RBW19269,2660,Hoboken,antwerp,Sint-Bernardsesteenweg 629 301,51.1755993,4.3672657,175000,,,2,79,,0,1,377,0,198,2100,98,Antwerp,5.45,2215.1898734177
apartment,RBW23620,2660,Hoboken,antwerp,Meerlenhoflaan 13 2,51.1725,4.355282,198000,New,2021,1,50,,0,1,50,0,150,1400,288,Antwerp,6.17,3960.0
apartment,RBW24611,2600,Berchem,antwerp,De Roest d'Alkemadelaan 5 82,51.1838752,4.4319229,159000,Excellent,1969,1,45,,0,0,205,0,850,1600,281,Antwerp,4.45,3533.3333333333
house,RBV92999,2030,Antwerp,antwerp,Kempisch Dok Oostkaai 33,51.23365,4.416649,175000,Normal,,2,200,,0,0,,0,602,1000,687,Antwerp,1.87,875.0
apartment,RBW18366,2140,Antwerp,antwerp,Berchemlei 75 201,51.2053885,4.4490757,181900,,,2,,,0,1,609,0,57,1200,205,Antwerp,3.6,
apartment,RBV89589,2550,Kontich,antwerp,Koningin Astridlaan 37,51.1288653,4.4539746,165000,Excellent,2012,1,60,,1,1,211,1,1100,2100,677,Antwerp,10.69,2750.0
apartment,RBW18125,2018,Antwerp,antwerp,Appelmansstraat 23 1,51.21654,4.417725,189000,Normal,1986,1,53,,0,1,379,0,368,342,248,Antwerp,1.11,3566.0377358491
apartment,RBW18128,2060,Antwerp,antwerp,Pothoekstraat 35 4,51.22109,4.436394,145000,Normal,1983,1,52,,0,0,371,0,53,1500,778,Antwerp,2.37,2788.4615384615
apartment,RBV92989,2060,Antwerp,antwerp,Greinstraat 53 402,51.22138,4.425168,105000,To renovate,1930,1,27,,0,1,441,0,81,808,454,Antwerp,1.59,3888.8888888889
apartment,RBW19065,2000,Antwerp,antwerp,Leopoldstraat 63 13,51.2133,4.407669,199500,Normal,,1,32,,0,1,196,0,329,1300,201,Antwerp,0.77,6234.375
house,RBV96432,2450,Meerhout,antwerp,Kapellestraat 110,51.12746,5.0843302,175000,To renovate,1954,3,123,270,0,1,1081,0,434,8900,861,Leuven,38.47,1422.7642276423
apartment,RBW23686,2018,Antwerp,antwerp,Helenalei 24A 045,51.20077,4.421228,129000,Normal,1966,1,40,,0,1,131,0,465,958,277,Antwerp,2.45,3225.0
house,RBW18553,2300,Turnhout,antwerp,steenweg op oosthoven 54,51.32978,4.95229,149000,To renovate,1899,3,134,95,0,1,607,0,593,1700,597,Antwerp,40.17,1111.9402985075
apartment,RBW16107,2000,Antwerp,antwerp,Frankrijklei 41/43,51.2166583,4.4149712,187000,Normal,2013,1,32,,0,0,79,0,346,522,88,Antwerp,0.92,5843.75
house,RBV82387,2200,Herentals,antwerp,Fraikinstraat 30,51.18074,4.835107,199000,To renovate,1986,2,216,76,0,1,687,0,607,544,257,Antwerp,30.45,921.2962962963
apartment,RBW24086,2300,Turnhout,antwerp,Dessauerplein 1,51.32402,4.953304,197000,New,2024,1,58,,1,1,,0,313,1300,285,Antwerp,40.04,3396.5517241379
apartment,RBW17367,2850,Boom,antwerp,Voetballersstraat 28,51.0915149,4.3731727,199000,Normal,2005,2,70,,0,1,133,0,713,1200,474,Antwerp,14.37,2842.8571428571
apartment,RBW16998,2018,Antwerp,antwerp,Belgiëlei 94,51.20633,4.418448,135000,Normal,1967,,36,,0,0,505,0,455,1400,62,Antwerp,1.83,3750.0
